0,1,2,url
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,AI Anomaly Detector,https://azure.microsoft.com/ko-kr/pricing/details/cognitive-services/anomaly-detector/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI Bot Service,https://azure.microsoft.com/ko-kr/pricing/details/bot-services/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI 검색,https://azure.microsoft.com/ko-kr/pricing/details/search/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure Databricks,https://azure.microsoft.com/ko-kr/pricing/details/databricks/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure Machine Learning,https://azure.microsoft.com/ko-kr/pricing/details/machine-learning/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure Open Datasets,https://azure.microsoft.com/ko-kr/pricing/details/open-datasets/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI 서비스,https://azure.microsoft.com/ko-kr/pricing/details/cognitive-services/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI Video Indexer,https://azure.microsoft.com/ko-kr/pricing/details/video-indexer/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI Custom Vision,https://azure.microsoft.com/ko-kr/pricing/details/cognitive-services/custom-vision-service/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Data Science Virtual Machines,종량제
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,LUIS(Language Understanding),https://azure.microsoft.com/ko-kr/pricing/details/cognitive-services/language-service/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI 언어,https://azure.microsoft.com/ko-kr/pricing/details/cognitive-services/language-service/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI 번역기,https://azure.microsoft.com/ko-kr/pricing/details/cognitive-services/translator/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI Metrics Advisor,https://azure.microsoft.com/ko-kr/pricing/details/metrics-advisor/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure OpenAI Service,https://azure.microsoft.com/ko-kr/pricing/details/cognitive-services/openai-service/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI Personalizer,https://azure.microsoft.com/ko-kr/pricing/details/cognitive-services/personalizer/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI 콘텐츠 안전,https://azure.microsoft.com/ko-kr/pricing/details/cognitive-services/content-safety/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Health Bot,https://azure.microsoft.com/ko-kr/pricing/details/bot-services/health-bot/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI 문서 인텔리전스,https://azure.microsoft.com/ko-kr/pricing/details/ai-document-intelligence/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI Foundry,https://azure.microsoft.com/ko-kr/pricing/details/ai-foundry/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI 모델 카탈로그,종량제
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Microsoft Security Copilot,https://azure.microsoft.com/ko-kr/pricing/details/microsoft-copilot-for-security/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI Immersive Reader,https://azure.microsoft.com/ko-kr/pricing/details/immersive-reader/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Phi 오픈 모델,https://azure.microsoft.com/ko-kr/pricing/details/phi-3/
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI 콘텐츠 이해,종량제
AI + 기계 학습,모든 개발자 및 시나리오를 위한 인공 지능 기능을 활용하여 차세대 애플리케이션 개발,Azure AI 음성,https://azure.microsoft.com/ko-kr/pricing/details/cognitive-services/speech-services/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Azure Analysis Services,https://azure.microsoft.com/ko-kr/pricing/details/analysis-services/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Azure Data Explorer,https://azure.microsoft.com/ko-kr/pricing/details/data-explorer/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Azure Data Factory,https://azure.microsoft.com/ko-kr/pricing/details/data-factory/data-pipeline/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Azure Data Lake Storage,https://azure.microsoft.com/ko-kr/pricing/details/storage/data-lake/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Azure Data Share,https://azure.microsoft.com/ko-kr/pricing/details/data-share/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Azure Databricks,https://azure.microsoft.com/ko-kr/pricing/details/databricks/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Azure Stream Analytics,https://azure.microsoft.com/ko-kr/pricing/details/stream-analytics/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Azure Synapse Analytics,https://azure.microsoft.com/ko-kr/pricing/details/synapse-analytics/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Data Catalog,https://azure.microsoft.com/ko-kr/pricing/details/data-catalog/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Data Lake Analytics,https://azure.microsoft.com/ko-kr/pricing/details/data-lake-analytics/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Event Hubs,https://azure.microsoft.com/ko-kr/pricing/details/event-hubs/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",HDInsight,https://azure.microsoft.com/ko-kr/pricing/details/hdinsight/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Power BI Embedded,https://azure.microsoft.com/ko-kr/pricing/details/power-bi-embedded/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Microsoft Graph 데이터 연결,https://azure.microsoft.com/ko-kr/pricing/details/graph-data-connect/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Azure Chaos Studio,https://azure.microsoft.com/ko-kr/pricing/details/chaos-studio/
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Microsoft Fabric,https://azure.microsoft.com/ko-kr/pricing/details/microsoft-fabric
Analytics,"다양한 종류, 양, 개발속도의 데이터를 수집, 저장, 처리, 분석 및 시각화.",Microsoft Purview,https://azure.microsoft.com/ko-kr/pricing/details/purview/
